Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,169.68788146972656,170.88561066355808,168.65536499501724,170.47260407367435,121465900
2015-01-05,166.62332153320312,168.81225065477216,166.31770079651972,168.6470505972124,169632600
2015-01-06,165.05392456054688,167.44935723130908,164.26094653071848,166.9289650053605,209151400
2015-01-07,167.1107177734375,167.44938618869952,165.92952502298357,166.3755665766757,125346700
2015-01-08,170.07608032226562,170.2908517797395,168.4984049909054,168.51491617689666,147217800
2015-01-09,168.71316528320312,170.5056120873232,168.10191108942752,170.48908829723226,158567300
2015-01-12,167.39154052734375,169.0022760675028,166.78855452639888,168.84533157044453,144396100
2015-01-13,166.9207305908203,169.729170120032,165.6238839596993,168.60579178755538,214553300
2015-01-14,165.9129180908203,166.11116568420712,164.02135447757647,164.91343713793196,192991100
2015-01-15,164.39308166503906,166.86285203095846,164.27744036968454,166.5489757172567,176613900
2015-01-16,166.54896545410156,166.7059099032591,164.004844509121,164.18656833404498,211879600
2015-01-20,166.90414428710938,167.4493157598487,165.34298059986864,167.18498561405204,130991100
2015-01-21,167.74673461914062,168.22582370893434,165.97906716560615,166.44163246500446,122942700
2015-01-22,170.2413330078125,170.37348554658226,167.12725957849614,168.49844457542144,174356000
2015-01-23,169.307861328125,170.24125991747914,169.17569624213647,169.98518533689273,117516800
2015-01-26,169.704345703125,169.795207625169,168.3827326417059,169.09310423115286,92009700
2015-01-27,167.46591186523438,168.6058014503683,166.63989870883796,167.6558913620966,134044600
2015-01-28,165.31820678710938,168.74615497955716,165.12822736589717,168.64703747352567,168514300
2015-01-29,166.8463592529297,167.1024212491774,164.11224581839372,165.51647790768044,173585400
2015-01-30,164.74830627441406,166.9950628601836,164.48398864289024,165.6734494946458,197729700
2015-02-02,166.78854370117188,166.87940563546837,163.4349329327051,165.24390342208943,163107000
2015-02-03,169.2005615234375,169.20882972298224,167.30899661020916,167.68070007480412,124212900
2015-02-04,168.5562744140625,169.64661803570104,168.10196457171313,168.44063305455202,134306700
2015-02-05,170.2578125,170.40650140888124,169.1427024012078,169.21704055366874,97953200
2015-02-06,169.78700256347656,171.18296677943948,169.26661025471967,170.62127129310568,125672000
2015-02-09,169.02708435058594,169.86135314121785,168.62233334707244,169.14272569388106,87219000
2015-02-10,170.82774353027344,171.08380553916865,169.0683318377307,170.05955750358785,96164200
2015-02-11,170.92689514160156,171.3564255088663,170.0182882386482,170.6625774875651,91087800
2015-02-12,172.57066345214844,172.62849042176754,170.95994035221958,171.7198709274691,97545900
2015-02-13,173.28099060058594,173.3305493595107,172.43845388699384,172.69452848136683,93670400
2015-02-17,173.5535888671875,173.72705713986363,172.7193202893553,172.9671141018099,76968200
2015-02-18,173.57012939453125,173.64446754543653,172.91757201491595,173.18190224563585,80652900
2015-02-19,173.44619750976562,173.80964522816615,172.83495598696246,172.9753766774431,91462500
2015-02-20,174.48696899414062,174.56130712996128,172.41366855501633,173.0331782281016,140896400
2015-02-23,174.4622039794922,174.4622039794922,173.85920543986055,174.2391769497112,74411100
2015-02-24,174.95785522460938,175.15610293156425,174.09053883712855,174.3879040955802,72472300
2015-02-25,174.8091278076172,175.3129962204007,174.47045946703403,174.83390718824936,73061700
2015-02-26,174.6026153564453,174.87520113297848,173.99961684898244,174.7182566612815,72697900
2015-02-27,174.00790405273438,174.76783451094943,173.95834528867053,174.50350429733115,108076000
2015-03-02,175.10650634765625,175.16432070555928,174.05746627296082,174.10702503800874,87491400
2015-03-03,174.3878936767578,175.1560924668457,173.52884553919984,174.67700332329895,110325800
2015-03-04,173.6527099609375,173.86748140808916,172.68627626062957,173.7931306588669,114497200
2015-03-05,173.8426971435547,174.12353853152536,173.33882872209776,173.97484964121526,76873000
2015-03-06,171.397705078125,173.41317890386983,171.06730490510006,172.98364859577046,188128000
2015-03-09,172.1080322265625,172.4632116903932,171.43896385686813,171.59590830979997,89818900
2015-03-10,169.316162109375,170.82776759842554,169.27485893348538,170.745173850606,157121300
2015-03-11,168.91964721679688,169.74566016162228,168.83704088073142,169.57219189746775,110145700
2015-03-12,171.06729125976562,171.13336120593354,169.4978590531875,169.54741781479228,93993500
2015-03-13,170.01828002929688,171.75289999879354,168.98576364127752,170.794734369721,162410900
2015-03-16,172.289794921875,172.3806568570192,170.0430385291803,170.74515462838175,136099200
2015-03-17,171.77767944335938,172.1576383881858,170.96817757941653,171.55465239072544,94510400
2015-03-18,173.8426971435547,174.51176564005567,170.67079772450302,171.30683124757832,228808500
2015-03-19,173.04969787597656,173.850931375652,172.66147081514595,173.42966934545456,117917300
2015-03-20,174.5771942138672,175.0833117613719,173.81387167111257,173.99640669875154,177715100
2015-03-23,174.23704528808594,175.15801303387462,174.23704528808594,174.58551785943564,71784500
2015-03-24,173.25796508789062,174.56887998481383,173.19158756674477,174.1125550997898,77805300
2015-03-25,170.71913146972656,173.69776520861421,170.67765658234543,173.46545013430293,159521700
2015-03-26,170.31256103515625,171.22522364528578,169.358398223387,170.0553560026632,153067200
2015-03-27,170.70249938964844,170.87672931710654,170.0055416991604,170.19638183333447,118939000
2015-03-30,172.7850341796875,173.08372670196508,171.71472669332005,171.73131157884472,96180400
2015-03-31,171.2750244140625,172.66063503633413,171.2169519772045,171.96367717248643,126768700
2015-04-01,170.66929626464844,171.26668130825644,169.6819511881236,171.24179131979093,137303600
2015-04-02,171.28329467773438,171.73132717172223,170.42039946381973,170.60293450290862,86900900
2015-04-06,172.43663024902344,172.9510404296362,170.26281932039745,170.39556175846903,114368200
2015-04-07,171.980224609375,173.20817713321736,171.94704217801407,172.46145215552548,81236300
2015-04-08,172.56105041503906,173.00079052443866,171.81432527158861,172.20428539278765,89351900
2015-04-09,173.32440185546875,173.55671694575037,171.90562131555046,172.39514149434225,85548900
2015-04-10,174.2702178955078,174.31170543599447,173.37415285413942,173.57327279212356,72722900
2015-04-13,173.48202514648438,174.75977064265913,173.43224515628404,174.1291903395314,74436600
2015-04-14,173.8139190673828,173.99645414479616,172.66063616566487,173.28291138587718,75099900
2015-04-15,174.59376525878906,175.09988276617088,174.19551280288417,174.27848786713062,99529300
2015-04-16,174.54405212402344,175.05016982521738,174.06282441959135,174.26195705390805,68934900
2015-04-17,172.5361328125,173.5981479249098,171.7562126949012,173.35754046703426,191113200
2015-04-20,174.1125946044922,174.4444696253035,173.37416192199962,173.4571243470922,92189500
2015-04-21,173.90513610839844,174.95055361711223,173.60644358302048,174.7929085814658,72559800
2015-04-22,174.75975036621094,174.94228541591448,173.324359960795,174.24532765331014,78264600
2015-04-23,175.19944763183594,175.84661259165944,174.2452850760431,174.36144256472383,102585900
2015-04-24,175.6060333251953,175.87154345258304,175.15800081050318,175.6143384293135,61327400
2015-04-27,174.8759307861328,176.29471116892657,174.6850906072183,176.17026119156623,79358100
2015-04-28,175.43173217773438,175.48151214136,173.6810650490172,174.85094483507777,86863500
2015-04-29,174.70994567871094,175.30731806756097,173.9051356170558,174.54399554046685,125684900
2015-04-30,172.95928955078125,174.52742224365647,172.26233184044423,174.13746218128156,161304900
2015-05-01,174.8344268798828,174.87591442186115,173.63965656814005,173.73921654071185,103399700
2015-05-04,175.33218383789062,175.9129712189305,175.14964885239016,175.25750122730196,70927200
2015-05-05,173.32440185546875,175.44844543267956,173.1833543120994,175.09166769103237,113326200
2015-05-06,172.61085510253906,174.17898825634953,171.54883966822416,173.87200317837147,135060200
2015-05-07,173.2994842529297,173.72263947585762,172.1793965303919,172.5112715607244,88244900
2015-05-08,175.58114624023438,175.78027883907203,174.8842011346324,174.96717621586973,155877300
2015-05-11,174.74314880371094,175.80516398110535,174.66847882878935,175.53966651686653,75708100
2015-05-12,174.22044372558594,174.75975644947212,173.0920509518764,173.9134587041349,119727600
2015-05-13,174.253662109375,175.24929994623557,174.02134703611495,174.62702471566996,94667900
2015-05-14,176.0707244873047,176.16199203617555,174.9921114534371,175.2659141000497,95934000
2015-05-15,176.2615203857422,176.40256790681514,175.7802927290234,176.2615203857422,76510100
2015-05-18,176.80905151367188,177.05795135234536,176.02913159192002,176.09550910230482,74549700
2015-05-19,176.75100708007812,177.1990522131285,176.46891209125,176.92524966742405,72114600
2015-05-20,176.62657165527344,177.37329672479893,176.31128154758866,176.85058157999936,76857500
2015-05-21,177.1409912109375,177.34841625919387,176.319583462163,176.48553362894427,64764600
2015-05-22,176.71783447265625,177.17415941398292,176.65145694332057,176.75930935079924,57433500
2015-05-26,174.81781005859375,176.65145286603982,174.4029600049852,176.22829770881899,124308600
2015-05-27,176.47723388671875,176.70954893500715,174.86761343770593,175.2741711023209,93214000
2015-05-28,176.27809143066406,176.3859438363147,175.58943881822523,176.17022636479442,74974600
2015-05-29,175.18287658691406,176.25318413307215,174.91737914129027,176.21170925672558,124919600
2015-06-01,175.53965759277344,176.17851755936138,174.75143236349666,175.84664258087983,93338800
2015-06-02,175.3654022216797,176.05405477905722,174.46103221002957,175.08330724450371,91531000
2015-06-03,175.83009338378906,176.4523686347199,175.34057322484352,175.8964709297817,87820900
2015-06-04,174.3448944091797,175.78027210602187,174.0296043048185,175.1248145661451,151882800
2015-06-05,174.04623413085938,174.71828934303034,173.3907638092005,174.1955741067988,121704700
2015-06-08,172.9758758544922,174.08768362665737,172.90120588284333,173.93833102314068,89063300
2015-06-09,172.95098876953125,173.49030144767775,172.32042123131572,172.95098876953125,105034700
2015-06-10,175.02525329589844,175.40692095542522,173.65625304064022,173.71432547087372,134551300
2015-06-11,175.58944702148438,175.971102001252,175.23266937321156,175.46498440269264,73876400
2015-06-12,174.24530029296875,175.4649603607381,173.97149776140645,174.76801536778927,135382400
2015-06-15,173.4986114501953,173.7807064831923,172.40340109589576,173.1086513386087,124384200
2015-06-16,174.44447326660156,174.52744835364663,173.17503292818068,173.34926288666625,85308200
2015-06-17,174.72650146484375,175.3321915160813,173.70597411773852,174.72650146484375,126708600
2015-06-18,176.5436248779297,177.00825500991627,174.75977433686225,175.3239644513541,165867900
2015-06-19,175.75982666015625,176.37679567828798,175.38464812718053,176.30176251605235,130478700
2015-06-22,176.66033935546875,177.24395207329624,176.4519053332587,176.67701763935042,70696000
2015-06-23,176.785400390625,177.11890247001577,176.39355612027157,176.86877909092357,68476800
2015-06-24,175.50144958496094,176.89378734958865,175.47643851962894,176.51860864780568,92307300
2015-06-25,174.96786499023438,176.12675770364896,174.89283179166455,176.00170237269924,97107400
2015-06-26,174.93443298339844,175.568067543893,174.38416436092308,175.3262770635035,104174800
2015-06-29,171.26605224609375,174.9428311592116,171.19101905728778,173.45878205663925,202621300
